starttime	seconds	ctime	dtime	ttime	wait
Wed Apr 19 07:22:16 2017	1492579336	1	1	1	0
Wed Apr 19 07:22:13 2017	1492579333	1	1	1	1
Wed Apr 19 07:22:17 2017	1492579337	1	1	1	1
Wed Apr 19 07:22:14 2017	1492579334	1	1	1	1
Wed Apr 19 07:22:13 2017	1492579333	1	1	1	1
Wed Apr 19 07:22:14 2017	1492579334	1	1	1	1
Wed Apr 19 07:22:14 2017	1492579334	0	1	1	1
Wed Apr 19 07:22:13 2017	1492579333	1	1	1	1
Wed Apr 19 07:22:13 2017	1492579333	1	1	1	1
Wed Apr 19 07:22:12 2017	1492579332	1	1	1	1
Wed Apr 19 07:22:14 2017	1492579334	1	1	1	1
Wed Apr 19 07:22:14 2017	1492579334	1	1	1	1
Wed Apr 19 07:22:14 2017	1492579334	0	1	1	1
Wed Apr 19 07:22:13 2017	1492579333	1	1	1	0
Wed Apr 19 07:22:12 2017	1492579332	1	1	1	1
Wed Apr 19 07:22:16 2017	1492579336	1	1	1	1
Wed Apr 19 07:22:16 2017	1492579336	1	1	1	1
Wed Apr 19 07:22:13 2017	1492579333	1	1	1	1
Wed Apr 19 07:22:14 2017	1492579334	1	1	1	0
Wed Apr 19 07:22:17 2017	1492579337	1	1	1	1
Wed Apr 19 07:22:14 2017	1492579334	0	1	1	1
Wed Apr 19 07:22:14 2017	1492579334	1	0	1	0
Wed Apr 19 07:22:13 2017	1492579333	1	1	1	0
Wed Apr 19 07:22:16 2017	1492579336	1	1	1	1
Wed Apr 19 07:22:12 2017	1492579332	1	1	1	1
Wed Apr 19 07:22:14 2017	1492579334	1	1	1	1
Wed Apr 19 07:22:16 2017	1492579336	1	1	1	1
Wed Apr 19 07:22:13 2017	1492579333	1	1	1	0
Wed Apr 19 07:22:14 2017	1492579334	1	0	1	0
Wed Apr 19 07:22:12 2017	1492579332	1	1	1	0
Wed Apr 19 07:22:14 2017	1492579334	1	1	1	1
Wed Apr 19 07:22:13 2017	1492579333	1	1	1	1
Wed Apr 19 07:22:17 2017	1492579337	1	1	1	1
Wed Apr 19 07:22:14 2017	1492579334	1	1	1	1
Wed Apr 19 07:22:13 2017	1492579333	1	1	1	1
Wed Apr 19 07:22:14 2017	1492579334	1	1	1	1
Wed Apr 19 07:22:14 2017	1492579334	1	1	1	1
Wed Apr 19 07:22:12 2017	1492579332	1	1	1	1
Wed Apr 19 07:22:14 2017	1492579334	1	1	1	1
Wed Apr 19 07:22:14 2017	1492579334	1	1	1	1
Wed Apr 19 07:22:13 2017	1492579333	1	0	1	0
Wed Apr 19 07:22:14 2017	1492579334	1	1	1	0
Wed Apr 19 07:22:14 2017	1492579334	1	1	1	0
Wed Apr 19 07:22:12 2017	1492579332	1	1	1	1
Wed Apr 19 07:22:13 2017	1492579333	1	1	1	1
Wed Apr 19 07:22:13 2017	1492579333	1	1	1	1
Wed Apr 19 07:22:14 2017	1492579334	1	0	1	0
Wed Apr 19 07:22:17 2017	1492579337	1	1	1	1
Wed Apr 19 07:22:14 2017	1492579334	1	1	1	1
Wed Apr 19 07:22:13 2017	1492579333	1	1	1	1
Wed Apr 19 07:22:12 2017	1492579332	1	1	1	1
Wed Apr 19 07:22:13 2017	1492579333	1	0	1	0
Wed Apr 19 07:22:13 2017	1492579333	1	1	1	0
Wed Apr 19 07:22:14 2017	1492579334	1	1	1	1
Wed Apr 19 07:22:14 2017	1492579334	1	1	1	1
Wed Apr 19 07:22:14 2017	1492579334	1	1	1	0
Wed Apr 19 07:22:15 2017	1492579335	1	1	1	0
Wed Apr 19 07:22:14 2017	1492579334	1	1	1	1
Wed Apr 19 07:22:13 2017	1492579333	1	1	1	1
Wed Apr 19 07:22:14 2017	1492579334	1	1	1	1
Wed Apr 19 07:22:12 2017	1492579332	1	1	1	1
Wed Apr 19 07:22:14 2017	1492579334	1	1	1	1
Wed Apr 19 07:22:13 2017	1492579333	1	1	1	1
Wed Apr 19 07:22:13 2017	1492579333	0	1	1	1
Wed Apr 19 07:22:12 2017	1492579332	1	1	1	1
Wed Apr 19 07:22:13 2017	1492579333	1	1	1	1
Wed Apr 19 07:22:14 2017	1492579334	1	1	1	1
Wed Apr 19 07:22:16 2017	1492579336	1	1	1	1
Wed Apr 19 07:22:14 2017	1492579334	1	1	1	1
Wed Apr 19 07:22:13 2017	1492579333	1	0	1	0
Wed Apr 19 07:22:12 2017	1492579332	1	1	1	1
Wed Apr 19 07:22:14 2017	1492579334	0	1	1	1
Wed Apr 19 07:22:12 2017	1492579332	1	1	1	1
Wed Apr 19 07:22:14 2017	1492579334	1	1	1	1
Wed Apr 19 07:22:13 2017	1492579333	1	1	1	1
Wed Apr 19 07:22:14 2017	1492579334	1	1	1	1
Wed Apr 19 07:22:13 2017	1492579333	1	1	1	1
Wed Apr 19 07:22:13 2017	1492579333	1	1	1	1
Wed Apr 19 07:22:16 2017	1492579336	1	1	1	1
Wed Apr 19 07:22:12 2017	1492579332	1	1	1	1
Wed Apr 19 07:22:13 2017	1492579333	1	1	1	1
Wed Apr 19 07:22:14 2017	1492579334	1	1	1	1
Wed Apr 19 07:22:13 2017	1492579333	1	1	1	1
Wed Apr 19 07:22:13 2017	1492579333	1	1	1	1
Wed Apr 19 07:22:14 2017	1492579334	1	1	1	1
Wed Apr 19 07:22:14 2017	1492579334	0	1	1	1
Wed Apr 19 07:22:16 2017	1492579336	1	1	1	1
Wed Apr 19 07:22:12 2017	1492579332	1	0	1	0
Wed Apr 19 07:22:17 2017	1492579337	1	1	1	0
Wed Apr 19 07:22:13 2017	1492579333	1	1	1	0
Wed Apr 19 07:22:12 2017	1492579332	1	1	1	1
Wed Apr 19 07:22:13 2017	1492579333	1	0	1	0
Wed Apr 19 07:22:17 2017	1492579337	1	0	1	0
Wed Apr 19 07:22:13 2017	1492579333	1	1	1	1
Wed Apr 19 07:22:12 2017	1492579332	1	1	1	1
Wed Apr 19 07:22:13 2017	1492579333	1	1	1	1
Wed Apr 19 07:22:14 2017	1492579334	1	1	1	1
Wed Apr 19 07:22:13 2017	1492579333	1	1	1	1
Wed Apr 19 07:22:16 2017	1492579336	0	1	1	1
Wed Apr 19 07:22:13 2017	1492579333	1	1	1	0
Wed Apr 19 07:22:13 2017	1492579333	1	1	1	0
Wed Apr 19 07:22:13 2017	1492579333	1	1	1	1
Wed Apr 19 07:22:14 2017	1492579334	0	1	1	1
Wed Apr 19 07:22:14 2017	1492579334	1	1	1	1
Wed Apr 19 07:22:14 2017	1492579334	1	1	1	1
Wed Apr 19 07:22:17 2017	1492579337	0	1	1	1
Wed Apr 19 07:22:16 2017	1492579336	1	1	1	1
Wed Apr 19 07:22:17 2017	1492579337	1	1	1	1
Wed Apr 19 07:22:14 2017	1492579334	1	1	1	1
Wed Apr 19 07:22:13 2017	1492579333	1	0	1	0
Wed Apr 19 07:22:14 2017	1492579334	1	1	1	1
Wed Apr 19 07:22:13 2017	1492579333	1	1	1	0
Wed Apr 19 07:22:14 2017	1492579334	0	1	1	1
Wed Apr 19 07:22:14 2017	1492579334	1	1	1	1
Wed Apr 19 07:22:14 2017	1492579334	1	1	1	1
Wed Apr 19 07:22:16 2017	1492579336	1	1	1	1
Wed Apr 19 07:22:14 2017	1492579334	1	1	1	1
Wed Apr 19 07:22:14 2017	1492579334	1	1	1	1
Wed Apr 19 07:22:12 2017	1492579332	1	1	1	0
Wed Apr 19 07:22:14 2017	1492579334	1	1	1	1
Wed Apr 19 07:22:16 2017	1492579336	1	1	1	1
Wed Apr 19 07:22:17 2017	1492579337	1	1	1	1
Wed Apr 19 07:22:16 2017	1492579336	1	1	1	1
Wed Apr 19 07:22:12 2017	1492579332	1	1	1	1
Wed Apr 19 07:22:17 2017	1492579337	1	1	1	1
Wed Apr 19 07:22:15 2017	1492579335	1	1	1	1
Wed Apr 19 07:22:12 2017	1492579332	1	1	1	1
Wed Apr 19 07:22:14 2017	1492579334	1	0	1	0
Wed Apr 19 07:22:13 2017	1492579333	1	1	1	1
Wed Apr 19 07:22:17 2017	1492579337	1	1	1	0
Wed Apr 19 07:22:17 2017	1492579337	1	1	1	1
Wed Apr 19 07:22:14 2017	1492579334	1	1	1	1
Wed Apr 19 07:22:13 2017	1492579333	1	1	1	1
Wed Apr 19 07:22:13 2017	1492579333	1	1	1	1
Wed Apr 19 07:22:14 2017	1492579334	1	1	1	1
Wed Apr 19 07:22:14 2017	1492579334	1	1	1	1
Wed Apr 19 07:22:13 2017	1492579333	1	1	1	1
Wed Apr 19 07:22:13 2017	1492579333	0	1	1	1
Wed Apr 19 07:22:12 2017	1492579332	1	1	1	1
Wed Apr 19 07:22:17 2017	1492579337	1	1	1	1
Wed Apr 19 07:22:16 2017	1492579336	1	1	1	1
Wed Apr 19 07:22:13 2017	1492579333	1	1	1	1
Wed Apr 19 07:22:17 2017	1492579337	1	1	1	0
Wed Apr 19 07:22:14 2017	1492579334	1	1	1	1
Wed Apr 19 07:22:14 2017	1492579334	1	1	1	1
Wed Apr 19 07:22:14 2017	1492579334	1	0	1	0
Wed Apr 19 07:22:14 2017	1492579334	1	1	1	1
Wed Apr 19 07:22:13 2017	1492579333	1	1	1	1
Wed Apr 19 07:22:14 2017	1492579334	1	1	1	1
Wed Apr 19 07:22:14 2017	1492579334	1	1	1	1
Wed Apr 19 07:22:16 2017	1492579336	1	0	1	0
Wed Apr 19 07:22:14 2017	1492579334	1	1	1	0
Wed Apr 19 07:22:17 2017	1492579337	1	1	1	0
Wed Apr 19 07:22:12 2017	1492579332	1	1	1	1
Wed Apr 19 07:22:16 2017	1492579336	1	1	1	1
Wed Apr 19 07:22:16 2017	1492579336	1	1	1	1
Wed Apr 19 07:22:13 2017	1492579333	1	1	1	1
Wed Apr 19 07:22:13 2017	1492579333	1	1	1	1
Wed Apr 19 07:22:14 2017	1492579334	1	1	1	0
Wed Apr 19 07:22:17 2017	1492579337	1	1	1	1
Wed Apr 19 07:22:17 2017	1492579337	1	1	1	1
Wed Apr 19 07:22:12 2017	1492579332	1	1	1	1
Wed Apr 19 07:22:13 2017	1492579333	0	1	1	1
Wed Apr 19 07:22:13 2017	1492579333	1	1	1	1
Wed Apr 19 07:22:12 2017	1492579332	0	1	1	1
Wed Apr 19 07:22:16 2017	1492579336	1	1	1	0
Wed Apr 19 07:22:13 2017	1492579333	1	0	1	0
Wed Apr 19 07:22:13 2017	1492579333	1	1	1	1
Wed Apr 19 07:22:12 2017	1492579332	1	1	1	1
Wed Apr 19 07:22:13 2017	1492579333	1	1	1	1
Wed Apr 19 07:22:14 2017	1492579334	1	1	1	1
Wed Apr 19 07:22:13 2017	1492579333	1	1	1	1
Wed Apr 19 07:22:12 2017	1492579332	1	1	1	1
Wed Apr 19 07:22:12 2017	1492579332	1	1	1	1
Wed Apr 19 07:22:12 2017	1492579332	1	1	1	1
Wed Apr 19 07:22:14 2017	1492579334	0	1	1	1
Wed Apr 19 07:22:12 2017	1492579332	1	1	1	1
Wed Apr 19 07:22:16 2017	1492579336	1	1	1	1
Wed Apr 19 07:22:12 2017	1492579332	0	1	1	1
Wed Apr 19 07:22:13 2017	1492579333	1	1	1	1
Wed Apr 19 07:22:17 2017	1492579337	1	1	1	1
Wed Apr 19 07:22:14 2017	1492579334	1	1	1	1
Wed Apr 19 07:22:12 2017	1492579332	1	1	1	1
Wed Apr 19 07:22:14 2017	1492579334	1	1	1	1
Wed Apr 19 07:22:13 2017	1492579333	1	1	1	1
Wed Apr 19 07:22:14 2017	1492579334	1	1	1	1
Wed Apr 19 07:22:14 2017	1492579334	1	1	1	1
Wed Apr 19 07:22:14 2017	1492579334	1	1	1	1
Wed Apr 19 07:22:17 2017	1492579337	1	1	1	1
Wed Apr 19 07:22:17 2017	1492579337	1	1	1	1
Wed Apr 19 07:22:14 2017	1492579334	1	1	1	0
Wed Apr 19 07:22:12 2017	1492579332	1	1	1	1
Wed Apr 19 07:22:12 2017	1492579332	1	1	1	1
Wed Apr 19 07:22:14 2017	1492579334	1	1	1	1
Wed Apr 19 07:22:13 2017	1492579333	1	1	1	1
Wed Apr 19 07:22:13 2017	1492579333	1	1	1	1
Wed Apr 19 07:22:12 2017	1492579332	1	1	1	1
Wed Apr 19 07:22:12 2017	1492579332	0	1	1	1
Wed Apr 19 07:22:14 2017	1492579334	1	1	1	0
Wed Apr 19 07:22:15 2017	1492579335	1	1	1	1
Wed Apr 19 07:22:12 2017	1492579332	1	1	1	1
Wed Apr 19 07:22:13 2017	1492579333	1	1	1	1
Wed Apr 19 07:22:14 2017	1492579334	1	1	1	1
Wed Apr 19 07:22:13 2017	1492579333	1	1	1	1
Wed Apr 19 07:22:14 2017	1492579334	1	1	1	1
Wed Apr 19 07:22:14 2017	1492579334	0	1	1	1
Wed Apr 19 07:22:15 2017	1492579335	1	1	1	0
Wed Apr 19 07:22:14 2017	1492579334	1	1	1	0
Wed Apr 19 07:22:12 2017	1492579332	1	1	1	0
Wed Apr 19 07:22:13 2017	1492579333	1	1	1	1
Wed Apr 19 07:22:16 2017	1492579336	1	1	1	1
Wed Apr 19 07:22:12 2017	1492579332	1	1	1	1
Wed Apr 19 07:22:14 2017	1492579334	1	1	1	1
Wed Apr 19 07:22:13 2017	1492579333	1	1	1	1
Wed Apr 19 07:22:14 2017	1492579334	1	1	1	1
Wed Apr 19 07:22:14 2017	1492579334	1	1	1	1
Wed Apr 19 07:22:14 2017	1492579334	1	1	1	0
Wed Apr 19 07:22:13 2017	1492579333	1	1	1	0
Wed Apr 19 07:22:12 2017	1492579332	1	1	1	1
Wed Apr 19 07:22:12 2017	1492579332	1	1	1	1
Wed Apr 19 07:22:13 2017	1492579333	1	0	1	0
Wed Apr 19 07:22:13 2017	1492579333	1	1	1	0
Wed Apr 19 07:22:12 2017	1492579332	1	1	1	1
Wed Apr 19 07:22:15 2017	1492579335	1	1	1	1
Wed Apr 19 07:22:15 2017	1492579335	1	1	1	0
Wed Apr 19 07:22:12 2017	1492579332	1	1	1	0
Wed Apr 19 07:22:14 2017	1492579334	1	1	1	1
Wed Apr 19 07:22:12 2017	1492579332	1	1	1	1
Wed Apr 19 07:22:13 2017	1492579333	0	1	1	1
Wed Apr 19 07:22:16 2017	1492579336	1	1	1	1
Wed Apr 19 07:22:13 2017	1492579333	1	1	1	0
Wed Apr 19 07:22:14 2017	1492579334	1	1	1	1
Wed Apr 19 07:22:12 2017	1492579332	1	1	1	1
Wed Apr 19 07:22:12 2017	1492579332	1	1	1	1
Wed Apr 19 07:22:12 2017	1492579332	1	1	1	1
Wed Apr 19 07:22:13 2017	1492579333	1	1	1	0
Wed Apr 19 07:22:12 2017	1492579332	1	1	1	1
Wed Apr 19 07:22:14 2017	1492579334	1	1	1	1
Wed Apr 19 07:22:14 2017	1492579334	1	1	1	1
Wed Apr 19 07:22:12 2017	1492579332	1	1	1	1
Wed Apr 19 07:22:13 2017	1492579333	1	1	1	1
Wed Apr 19 07:22:14 2017	1492579334	1	1	1	1
Wed Apr 19 07:22:14 2017	1492579334	1	1	1	1
Wed Apr 19 07:22:17 2017	1492579337	1	1	1	1
Wed Apr 19 07:22:13 2017	1492579333	1	1	1	1
Wed Apr 19 07:22:12 2017	1492579332	0	1	1	1
Wed Apr 19 07:22:12 2017	1492579332	1	1	1	0
Wed Apr 19 07:22:12 2017	1492579332	1	1	1	1
Wed Apr 19 07:22:14 2017	1492579334	1	1	1	1
Wed Apr 19 07:22:12 2017	1492579332	1	1	1	1
Wed Apr 19 07:22:14 2017	1492579334	1	1	1	1
Wed Apr 19 07:22:14 2017	1492579334	1	1	1	1
Wed Apr 19 07:22:12 2017	1492579332	1	1	1	1
Wed Apr 19 07:22:17 2017	1492579337	1	1	1	1
Wed Apr 19 07:22:17 2017	1492579337	1	1	1	1
Wed Apr 19 07:22:17 2017	1492579337	0	1	1	1
Wed Apr 19 07:22:12 2017	1492579332	1	1	1	0
Wed Apr 19 07:22:14 2017	1492579334	1	1	1	1
Wed Apr 19 07:22:12 2017	1492579332	1	1	1	1
Wed Apr 19 07:22:14 2017	1492579334	1	1	1	1
Wed Apr 19 07:22:14 2017	1492579334	1	1	1	1
Wed Apr 19 07:22:14 2017	1492579334	1	1	1	1
Wed Apr 19 07:22:14 2017	1492579334	1	1	1	1
Wed Apr 19 07:22:13 2017	1492579333	1	1	1	1
Wed Apr 19 07:22:15 2017	1492579335	1	1	1	1
Wed Apr 19 07:22:13 2017	1492579333	1	1	1	1
Wed Apr 19 07:22:12 2017	1492579332	0	1	1	1
Wed Apr 19 07:22:12 2017	1492579332	1	1	1	0
Wed Apr 19 07:22:16 2017	1492579336	1	1	1	1
Wed Apr 19 07:22:12 2017	1492579332	1	1	1	0
Wed Apr 19 07:22:14 2017	1492579334	1	1	1	1
Wed Apr 19 07:22:17 2017	1492579337	1	1	1	1
Wed Apr 19 07:22:14 2017	1492579334	1	1	1	1
Wed Apr 19 07:22:13 2017	1492579333	1	1	1	1
Wed Apr 19 07:22:12 2017	1492579332	1	0	1	0
Wed Apr 19 07:22:13 2017	1492579333	1	1	1	0
Wed Apr 19 07:22:13 2017	1492579333	1	1	1	1
Wed Apr 19 07:22:14 2017	1492579334	1	1	1	1
Wed Apr 19 07:22:14 2017	1492579334	1	1	1	1
Wed Apr 19 07:22:14 2017	1492579334	1	1	1	1
Wed Apr 19 07:22:13 2017	1492579333	1	1	1	1
Wed Apr 19 07:22:14 2017	1492579334	1	1	1	1
Wed Apr 19 07:22:13 2017	1492579333	1	1	1	1
Wed Apr 19 07:22:13 2017	1492579333	1	1	1	1
Wed Apr 19 07:22:12 2017	1492579332	1	1	1	1
Wed Apr 19 07:22:16 2017	1492579336	1	1	1	1
Wed Apr 19 07:22:17 2017	1492579337	1	1	1	1
Wed Apr 19 07:22:14 2017	1492579334	0	1	1	1
Wed Apr 19 07:22:13 2017	1492579333	1	1	1	0
Wed Apr 19 07:22:14 2017	1492579334	1	1	1	1
Wed Apr 19 07:22:14 2017	1492579334	1	1	1	1
Wed Apr 19 07:22:12 2017	1492579332	1	1	1	1
Wed Apr 19 07:22:14 2017	1492579334	1	1	1	1
Wed Apr 19 07:22:13 2017	1492579333	1	1	1	1
Wed Apr 19 07:22:13 2017	1492579333	1	1	1	1
Wed Apr 19 07:22:13 2017	1492579333	1	1	1	1
Wed Apr 19 07:22:17 2017	1492579337	1	1	1	1
Wed Apr 19 07:22:12 2017	1492579332	1	1	1	1
Wed Apr 19 07:22:14 2017	1492579334	0	1	1	1
Wed Apr 19 07:22:12 2017	1492579332	1	1	1	0
Wed Apr 19 07:22:15 2017	1492579335	1	1	1	1
Wed Apr 19 07:22:17 2017	1492579337	1	1	1	1
Wed Apr 19 07:22:14 2017	1492579334	1	1	1	0
Wed Apr 19 07:22:12 2017	1492579332	1	1	1	0
Wed Apr 19 07:22:13 2017	1492579333	1	1	1	1
Wed Apr 19 07:22:14 2017	1492579334	1	1	1	1
Wed Apr 19 07:22:17 2017	1492579337	1	1	1	1
Wed Apr 19 07:22:17 2017	1492579337	0	1	1	1
Wed Apr 19 07:22:13 2017	1492579333	1	1	1	0
Wed Apr 19 07:22:13 2017	1492579333	1	1	1	0
Wed Apr 19 07:22:13 2017	1492579333	1	1	1	0
Wed Apr 19 07:22:12 2017	1492579332	1	1	1	1
Wed Apr 19 07:22:14 2017	1492579334	1	1	1	1
Wed Apr 19 07:22:14 2017	1492579334	1	1	1	1
Wed Apr 19 07:22:12 2017	1492579332	1	1	1	1
Wed Apr 19 07:22:14 2017	1492579334	0	1	1	1
Wed Apr 19 07:22:14 2017	1492579334	1	1	1	1
Wed Apr 19 07:22:14 2017	1492579334	1	1	1	1
Wed Apr 19 07:22:14 2017	1492579334	1	1	1	1
Wed Apr 19 07:22:13 2017	1492579333	1	1	1	1
Wed Apr 19 07:22:17 2017	1492579337	1	0	1	0
Wed Apr 19 07:22:13 2017	1492579333	1	1	1	0
Wed Apr 19 07:22:17 2017	1492579337	1	1	1	1
Wed Apr 19 07:22:12 2017	1492579332	1	1	1	1
Wed Apr 19 07:22:12 2017	1492579332	0	1	1	1
Wed Apr 19 07:22:17 2017	1492579337	1	1	1	1
Wed Apr 19 07:22:13 2017	1492579333	1	1	1	1
Wed Apr 19 07:22:13 2017	1492579333	1	1	1	1
Wed Apr 19 07:22:12 2017	1492579332	1	1	1	1
Wed Apr 19 07:22:13 2017	1492579333	0	1	1	1
Wed Apr 19 07:22:12 2017	1492579332	0	1	1	1
Wed Apr 19 07:22:14 2017	1492579334	1	1	1	0
Wed Apr 19 07:22:14 2017	1492579334	1	1	1	0
Wed Apr 19 07:22:16 2017	1492579336	1	1	1	0
Wed Apr 19 07:22:13 2017	1492579333	1	1	1	1
Wed Apr 19 07:22:17 2017	1492579337	1	1	1	1
Wed Apr 19 07:22:12 2017	1492579332	1	1	1	1
Wed Apr 19 07:22:17 2017	1492579337	1	1	1	0
Wed Apr 19 07:22:13 2017	1492579333	1	1	1	0
Wed Apr 19 07:22:12 2017	1492579332	1	1	1	1
Wed Apr 19 07:22:15 2017	1492579335	1	1	1	1
Wed Apr 19 07:22:12 2017	1492579332	1	1	1	1
Wed Apr 19 07:22:14 2017	1492579334	1	1	1	1
Wed Apr 19 07:22:13 2017	1492579333	1	1	1	1
Wed Apr 19 07:22:14 2017	1492579334	1	1	1	1
Wed Apr 19 07:22:15 2017	1492579335	1	0	1	0
Wed Apr 19 07:22:12 2017	1492579332	1	1	1	1
Wed Apr 19 07:22:13 2017	1492579333	1	1	1	1
Wed Apr 19 07:22:13 2017	1492579333	1	1	1	1
Wed Apr 19 07:22:12 2017	1492579332	1	1	1	1
Wed Apr 19 07:22:14 2017	1492579334	1	1	1	1
Wed Apr 19 07:22:13 2017	1492579333	1	1	1	1
Wed Apr 19 07:22:14 2017	1492579334	1	1	1	0
Wed Apr 19 07:22:16 2017	1492579336	1	1	1	0
Wed Apr 19 07:22:12 2017	1492579332	1	1	1	1
Wed Apr 19 07:22:13 2017	1492579333	1	1	1	1
Wed Apr 19 07:22:14 2017	1492579334	1	1	1	1
Wed Apr 19 07:22:12 2017	1492579332	1	1	1	1
Wed Apr 19 07:22:13 2017	1492579333	1	1	1	1
Wed Apr 19 07:22:14 2017	1492579334	1	1	1	1
Wed Apr 19 07:22:14 2017	1492579334	1	1	1	1
Wed Apr 19 07:22:12 2017	1492579332	1	1	1	1
Wed Apr 19 07:22:12 2017	1492579332	1	1	1	1
Wed Apr 19 07:22:14 2017	1492579334	1	1	1	1
Wed Apr 19 07:22:13 2017	1492579333	1	1	1	1
Wed Apr 19 07:22:14 2017	1492579334	1	1	1	1
Wed Apr 19 07:22:13 2017	1492579333	1	1	1	0
Wed Apr 19 07:22:13 2017	1492579333	1	1	1	0
Wed Apr 19 07:22:15 2017	1492579335	1	1	1	0
Wed Apr 19 07:22:14 2017	1492579334	1	1	1	1
Wed Apr 19 07:22:13 2017	1492579333	1	1	1	1
Wed Apr 19 07:22:13 2017	1492579333	1	1	1	1
Wed Apr 19 07:22:16 2017	1492579336	1	1	1	1
Wed Apr 19 07:22:14 2017	1492579334	1	1	1	1
Wed Apr 19 07:22:14 2017	1492579334	1	1	1	1
Wed Apr 19 07:22:13 2017	1492579333	1	1	1	1
Wed Apr 19 07:22:17 2017	1492579337	0	1	1	1
Wed Apr 19 07:22:14 2017	1492579334	0	1	1	0
Wed Apr 19 07:22:14 2017	1492579334	1	1	1	0
Wed Apr 19 07:22:14 2017	1492579334	1	1	1	1
Wed Apr 19 07:22:14 2017	1492579334	1	1	1	1
Wed Apr 19 07:22:12 2017	1492579332	1	1	1	1
Wed Apr 19 07:22:16 2017	1492579336	1	1	1	1
Wed Apr 19 07:22:12 2017	1492579332	1	1	1	1
Wed Apr 19 07:22:14 2017	1492579334	1	1	1	1
Wed Apr 19 07:22:13 2017	1492579333	1	1	1	1
Wed Apr 19 07:22:16 2017	1492579336	1	1	1	1
Wed Apr 19 07:22:16 2017	1492579336	1	1	1	1
Wed Apr 19 07:22:14 2017	1492579334	1	1	1	1
Wed Apr 19 07:22:16 2017	1492579336	1	1	1	1
Wed Apr 19 07:22:13 2017	1492579333	1	1	1	1
Wed Apr 19 07:22:14 2017	1492579334	1	1	1	1
Wed Apr 19 07:22:13 2017	1492579333	0	1	1	1
Wed Apr 19 07:22:12 2017	1492579332	1	1	1	1
Wed Apr 19 07:22:12 2017	1492579332	1	1	1	1
Wed Apr 19 07:22:16 2017	1492579336	1	1	1	1
Wed Apr 19 07:22:14 2017	1492579334	1	1	1	1
Wed Apr 19 07:22:12 2017	1492579332	1	1	1	1
Wed Apr 19 07:22:13 2017	1492579333	1	1	1	1
Wed Apr 19 07:22:17 2017	1492579337	1	1	1	1
Wed Apr 19 07:22:16 2017	1492579336	1	1	1	1
Wed Apr 19 07:22:13 2017	1492579333	1	1	1	1
Wed Apr 19 07:22:14 2017	1492579334	1	1	1	1
Wed Apr 19 07:22:14 2017	1492579334	1	1	1	1
Wed Apr 19 07:22:16 2017	1492579336	0	1	1	1
Wed Apr 19 07:22:13 2017	1492579333	1	1	1	0
Wed Apr 19 07:22:12 2017	1492579332	1	1	1	1
Wed Apr 19 07:22:17 2017	1492579337	1	1	1	1
Wed Apr 19 07:22:12 2017	1492579332	1	1	1	1
Wed Apr 19 07:22:14 2017	1492579334	1	1	1	1
Wed Apr 19 07:22:17 2017	1492579337	1	1	1	1
Wed Apr 19 07:22:16 2017	1492579336	1	1	1	1
Wed Apr 19 07:22:13 2017	1492579333	0	1	1	1
Wed Apr 19 07:22:13 2017	1492579333	1	1	1	1
Wed Apr 19 07:22:16 2017	1492579336	1	1	1	1
Wed Apr 19 07:22:13 2017	1492579333	1	1	1	1
Wed Apr 19 07:22:14 2017	1492579334	1	1	1	1
Wed Apr 19 07:22:12 2017	1492579332	1	1	1	1
Wed Apr 19 07:22:13 2017	1492579333	1	1	1	1
Wed Apr 19 07:22:14 2017	1492579334	1	1	1	1
Wed Apr 19 07:22:13 2017	1492579333	1	1	1	0
Wed Apr 19 07:22:12 2017	1492579332	1	1	1	1
Wed Apr 19 07:22:14 2017	1492579334	1	1	1	1
Wed Apr 19 07:22:17 2017	1492579337	1	1	1	1
Wed Apr 19 07:22:16 2017	1492579336	1	1	1	1
Wed Apr 19 07:22:14 2017	1492579334	1	1	1	1
Wed Apr 19 07:22:13 2017	1492579333	1	1	1	1
Wed Apr 19 07:22:14 2017	1492579334	1	1	1	1
Wed Apr 19 07:22:13 2017	1492579333	1	1	1	1
Wed Apr 19 07:22:12 2017	1492579332	1	1	1	1
Wed Apr 19 07:22:14 2017	1492579334	1	1	1	1
Wed Apr 19 07:22:13 2017	1492579333	1	1	1	1
Wed Apr 19 07:22:12 2017	1492579332	1	1	1	1
Wed Apr 19 07:22:14 2017	1492579334	1	1	1	1
Wed Apr 19 07:22:12 2017	1492579332	1	1	1	1
Wed Apr 19 07:22:13 2017	1492579333	1	1	1	1
Wed Apr 19 07:22:14 2017	1492579334	1	1	1	1
Wed Apr 19 07:22:13 2017	1492579333	1	1	1	1
Wed Apr 19 07:22:13 2017	1492579333	1	1	1	1
Wed Apr 19 07:22:14 2017	1492579334	0	1	1	1
Wed Apr 19 07:22:14 2017	1492579334	1	1	1	1
Wed Apr 19 07:22:16 2017	1492579336	0	1	1	1
Wed Apr 19 07:22:14 2017	1492579334	1	1	1	1
Wed Apr 19 07:22:12 2017	1492579332	1	1	1	1
Wed Apr 19 07:22:13 2017	1492579333	1	1	1	1
Wed Apr 19 07:22:12 2017	1492579332	1	1	1	1
Wed Apr 19 07:22:13 2017	1492579333	1	1	1	1
Wed Apr 19 07:22:17 2017	1492579337	0	1	1	1
Wed Apr 19 07:22:14 2017	1492579334	1	1	1	1
Wed Apr 19 07:22:13 2017	1492579333	0	1	1	1
