starttime	seconds	ctime	dtime	ttime	wait
Wed Apr 19 06:56:01 2017	1492577761	1	1	2	1
Wed Apr 19 06:56:04 2017	1492577764	1	1	2	1
Wed Apr 19 06:56:02 2017	1492577762	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:56:02 2017	1492577762	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:56:02 2017	1492577762	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:56:04 2017	1492577764	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:56:02 2017	1492577762	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:56:02 2017	1492577762	1	1	2	1
Wed Apr 19 06:56:01 2017	1492577761	1	1	2	1
Wed Apr 19 06:56:02 2017	1492577762	1	1	2	1
Wed Apr 19 06:56:01 2017	1492577761	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:56:02 2017	1492577762	1	1	2	1
Wed Apr 19 06:56:02 2017	1492577762	1	1	2	1
Wed Apr 19 06:56:03 2017	1492577763	1	1	2	1
Wed Apr 19 06:56:03 2017	1492577763	1	1	2	1
Wed Apr 19 06:56:02 2017	1492577762	1	1	2	1
Wed Apr 19 06:56:02 2017	1492577762	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:56:01 2017	1492577761	1	1	2	1
Wed Apr 19 06:56:03 2017	1492577763	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:56:04 2017	1492577764	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:56:04 2017	1492577764	1	1	2	1
Wed Apr 19 06:56:02 2017	1492577762	1	1	2	1
Wed Apr 19 06:56:02 2017	1492577762	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:56:03 2017	1492577763	1	1	2	1
Wed Apr 19 06:56:01 2017	1492577761	1	1	2	1
Wed Apr 19 06:56:00 2017	1492577760	1	1	2	1
Wed Apr 19 06:56:04 2017	1492577764	1	1	2	1
Wed Apr 19 06:56:02 2017	1492577762	1	1	2	1
Wed Apr 19 06:56:00 2017	1492577760	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:56:04 2017	1492577764	1	1	2	1
Wed Apr 19 06:56:01 2017	1492577761	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:56:03 2017	1492577763	1	1	2	1
Wed Apr 19 06:56:04 2017	1492577764	1	1	2	1
Wed Apr 19 06:56:01 2017	1492577761	1	1	2	1
Wed Apr 19 06:56:04 2017	1492577764	1	1	2	1
Wed Apr 19 06:56:04 2017	1492577764	1	1	2	1
Wed Apr 19 06:56:03 2017	1492577763	1	1	2	1
Wed Apr 19 06:56:04 2017	1492577764	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:56:04 2017	1492577764	1	1	2	1
Wed Apr 19 06:56:04 2017	1492577764	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:56:04 2017	1492577764	1	1	2	1
Wed Apr 19 06:56:04 2017	1492577764	1	1	2	1
Wed Apr 19 06:56:04 2017	1492577764	1	1	2	1
Wed Apr 19 06:56:01 2017	1492577761	1	1	2	1
Wed Apr 19 06:56:02 2017	1492577762	1	1	2	1
Wed Apr 19 06:56:01 2017	1492577761	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:56:03 2017	1492577763	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:56:02 2017	1492577762	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:56:04 2017	1492577764	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:56:02 2017	1492577762	1	1	2	1
Wed Apr 19 06:56:01 2017	1492577761	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:56:03 2017	1492577763	1	1	2	0
Wed Apr 19 06:56:03 2017	1492577763	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:56:02 2017	1492577762	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:56:03 2017	1492577763	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:56:01 2017	1492577761	1	1	2	1
Wed Apr 19 06:56:02 2017	1492577762	1	1	2	1
Wed Apr 19 06:56:03 2017	1492577763	1	1	2	0
Wed Apr 19 06:56:02 2017	1492577762	1	1	2	1
Wed Apr 19 06:56:04 2017	1492577764	1	1	2	1
Wed Apr 19 06:56:04 2017	1492577764	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:56:03 2017	1492577763	1	1	2	1
Wed Apr 19 06:56:02 2017	1492577762	1	1	2	1
Wed Apr 19 06:56:03 2017	1492577763	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:56:01 2017	1492577761	1	1	2	1
Wed Apr 19 06:56:03 2017	1492577763	1	1	2	1
Wed Apr 19 06:56:01 2017	1492577761	1	1	2	1
Wed Apr 19 06:56:01 2017	1492577761	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:56:03 2017	1492577763	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:56:00 2017	1492577760	1	1	2	1
Wed Apr 19 06:56:02 2017	1492577762	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:56:01 2017	1492577761	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:56:04 2017	1492577764	1	1	2	1
Wed Apr 19 06:56:01 2017	1492577761	1	1	2	1
Wed Apr 19 06:56:02 2017	1492577762	1	1	2	1
Wed Apr 19 06:56:04 2017	1492577764	1	1	2	1
Wed Apr 19 06:56:01 2017	1492577761	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:56:01 2017	1492577761	1	1	2	1
Wed Apr 19 06:56:02 2017	1492577762	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:56:03 2017	1492577763	1	1	2	1
Wed Apr 19 06:56:00 2017	1492577760	1	1	2	1
Wed Apr 19 06:56:02 2017	1492577762	1	1	2	1
Wed Apr 19 06:56:02 2017	1492577762	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:56:03 2017	1492577763	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:56:00 2017	1492577760	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:56:04 2017	1492577764	1	1	2	1
Wed Apr 19 06:56:04 2017	1492577764	1	1	2	1
Wed Apr 19 06:56:01 2017	1492577761	1	1	2	1
Wed Apr 19 06:56:01 2017	1492577761	1	1	2	1
Wed Apr 19 06:56:01 2017	1492577761	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:56:02 2017	1492577762	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:56:02 2017	1492577762	1	1	2	1
Wed Apr 19 06:56:04 2017	1492577764	1	1	2	1
Wed Apr 19 06:56:04 2017	1492577764	1	1	2	1
Wed Apr 19 06:56:02 2017	1492577762	1	1	2	1
Wed Apr 19 06:56:04 2017	1492577764	1	1	2	1
Wed Apr 19 06:56:04 2017	1492577764	1	1	2	1
Wed Apr 19 06:56:02 2017	1492577762	1	1	2	1
Wed Apr 19 06:56:04 2017	1492577764	1	1	2	1
Wed Apr 19 06:56:04 2017	1492577764	1	1	2	1
Wed Apr 19 06:56:03 2017	1492577763	1	1	2	1
Wed Apr 19 06:56:02 2017	1492577762	1	1	2	1
Wed Apr 19 06:56:01 2017	1492577761	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:56:04 2017	1492577764	1	1	2	1
Wed Apr 19 06:56:04 2017	1492577764	1	1	2	1
Wed Apr 19 06:56:01 2017	1492577761	1	1	2	1
Wed Apr 19 06:56:01 2017	1492577761	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:56:02 2017	1492577762	1	1	2	1
Wed Apr 19 06:56:04 2017	1492577764	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:56:02 2017	1492577762	1	1	2	1
Wed Apr 19 06:56:04 2017	1492577764	1	1	2	1
Wed Apr 19 06:56:03 2017	1492577763	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:56:04 2017	1492577764	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:56:03 2017	1492577763	1	1	2	1
Wed Apr 19 06:56:02 2017	1492577762	1	1	2	1
Wed Apr 19 06:56:01 2017	1492577761	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:56:04 2017	1492577764	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:56:02 2017	1492577762	1	1	2	1
Wed Apr 19 06:56:03 2017	1492577763	1	1	2	1
Wed Apr 19 06:56:03 2017	1492577763	1	1	2	1
Wed Apr 19 06:56:01 2017	1492577761	1	1	2	1
Wed Apr 19 06:56:02 2017	1492577762	1	1	2	1
Wed Apr 19 06:56:03 2017	1492577763	1	1	2	1
Wed Apr 19 06:56:02 2017	1492577762	1	1	2	1
Wed Apr 19 06:56:02 2017	1492577762	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:56:03 2017	1492577763	1	1	2	1
Wed Apr 19 06:56:01 2017	1492577761	1	1	2	1
Wed Apr 19 06:56:00 2017	1492577760	1	1	2	1
Wed Apr 19 06:56:02 2017	1492577762	1	1	2	1
Wed Apr 19 06:56:03 2017	1492577763	1	1	2	1
Wed Apr 19 06:56:01 2017	1492577761	1	1	2	1
Wed Apr 19 06:56:03 2017	1492577763	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:56:03 2017	1492577763	1	1	2	1
Wed Apr 19 06:56:03 2017	1492577763	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:56:04 2017	1492577764	1	1	2	1
Wed Apr 19 06:56:01 2017	1492577761	1	1	2	1
Wed Apr 19 06:56:01 2017	1492577761	1	1	2	1
Wed Apr 19 06:56:01 2017	1492577761	1	1	2	1
Wed Apr 19 06:56:00 2017	1492577760	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:56:02 2017	1492577762	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:56:03 2017	1492577763	1	1	2	1
Wed Apr 19 06:56:03 2017	1492577763	1	1	2	1
Wed Apr 19 06:56:01 2017	1492577761	1	1	2	1
Wed Apr 19 06:56:02 2017	1492577762	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:56:01 2017	1492577761	1	1	2	1
Wed Apr 19 06:56:03 2017	1492577763	1	1	2	1
Wed Apr 19 06:56:02 2017	1492577762	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:56:04 2017	1492577764	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:56:04 2017	1492577764	1	1	2	1
Wed Apr 19 06:56:01 2017	1492577761	1	1	2	1
Wed Apr 19 06:56:01 2017	1492577761	1	1	2	1
Wed Apr 19 06:56:02 2017	1492577762	1	1	2	1
Wed Apr 19 06:56:00 2017	1492577760	1	1	2	1
Wed Apr 19 06:56:04 2017	1492577764	1	1	2	1
Wed Apr 19 06:56:02 2017	1492577762	1	1	2	1
Wed Apr 19 06:56:03 2017	1492577763	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:56:02 2017	1492577762	1	1	2	1
Wed Apr 19 06:56:04 2017	1492577764	1	1	2	1
Wed Apr 19 06:56:04 2017	1492577764	1	1	2	1
Wed Apr 19 06:56:00 2017	1492577760	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:56:01 2017	1492577761	1	1	2	1
Wed Apr 19 06:56:02 2017	1492577762	1	1	2	1
Wed Apr 19 06:56:04 2017	1492577764	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:56:03 2017	1492577763	1	1	2	1
Wed Apr 19 06:56:04 2017	1492577764	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:56:01 2017	1492577761	1	1	2	1
Wed Apr 19 06:56:04 2017	1492577764	1	1	2	1
Wed Apr 19 06:56:03 2017	1492577763	1	1	2	1
Wed Apr 19 06:56:03 2017	1492577763	1	1	2	1
Wed Apr 19 06:56:03 2017	1492577763	1	1	2	1
Wed Apr 19 06:56:01 2017	1492577761	1	1	2	1
Wed Apr 19 06:56:01 2017	1492577761	1	1	2	1
Wed Apr 19 06:56:03 2017	1492577763	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:56:03 2017	1492577763	1	1	2	1
Wed Apr 19 06:56:01 2017	1492577761	1	1	2	1
Wed Apr 19 06:56:04 2017	1492577764	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:56:01 2017	1492577761	1	1	2	1
Wed Apr 19 06:56:04 2017	1492577764	1	1	2	1
Wed Apr 19 06:56:00 2017	1492577760	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:56:03 2017	1492577763	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:56:02 2017	1492577762	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:56:01 2017	1492577761	1	1	2	1
Wed Apr 19 06:56:04 2017	1492577764	1	1	2	1
Wed Apr 19 06:56:04 2017	1492577764	1	1	2	1
Wed Apr 19 06:56:02 2017	1492577762	1	1	2	1
Wed Apr 19 06:56:02 2017	1492577762	1	1	2	1
Wed Apr 19 06:56:02 2017	1492577762	1	1	2	1
Wed Apr 19 06:56:02 2017	1492577762	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:56:02 2017	1492577762	1	1	2	1
Wed Apr 19 06:56:04 2017	1492577764	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:56:02 2017	1492577762	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:56:03 2017	1492577763	1	1	2	1
Wed Apr 19 06:56:04 2017	1492577764	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:56:02 2017	1492577762	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:56:01 2017	1492577761	1	1	2	1
Wed Apr 19 06:56:03 2017	1492577763	1	1	2	1
Wed Apr 19 06:56:02 2017	1492577762	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:56:03 2017	1492577763	1	1	2	1
Wed Apr 19 06:56:03 2017	1492577763	1	1	2	0
Wed Apr 19 06:56:02 2017	1492577762	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:56:02 2017	1492577762	1	1	2	1
Wed Apr 19 06:56:04 2017	1492577764	1	1	2	1
Wed Apr 19 06:56:03 2017	1492577763	1	1	2	1
Wed Apr 19 06:56:02 2017	1492577762	1	1	2	1
Wed Apr 19 06:56:04 2017	1492577764	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:56:02 2017	1492577762	1	1	2	1
Wed Apr 19 06:56:01 2017	1492577761	1	1	2	1
Wed Apr 19 06:56:04 2017	1492577764	1	1	2	1
Wed Apr 19 06:56:01 2017	1492577761	1	1	2	1
Wed Apr 19 06:56:03 2017	1492577763	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:56:03 2017	1492577763	1	1	2	1
Wed Apr 19 06:56:02 2017	1492577762	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:56:02 2017	1492577762	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:56:03 2017	1492577763	1	1	2	1
Wed Apr 19 06:56:01 2017	1492577761	1	1	2	1
Wed Apr 19 06:56:02 2017	1492577762	1	1	2	1
Wed Apr 19 06:56:04 2017	1492577764	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:56:04 2017	1492577764	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:56:01 2017	1492577761	1	1	2	1
Wed Apr 19 06:56:04 2017	1492577764	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:56:01 2017	1492577761	1	1	2	1
Wed Apr 19 06:56:02 2017	1492577762	1	1	2	1
Wed Apr 19 06:56:02 2017	1492577762	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:56:03 2017	1492577763	1	1	2	1
Wed Apr 19 06:56:04 2017	1492577764	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:56:02 2017	1492577762	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:56:02 2017	1492577762	1	1	2	1
Wed Apr 19 06:56:03 2017	1492577763	1	1	2	1
Wed Apr 19 06:56:00 2017	1492577760	1	1	2	1
Wed Apr 19 06:56:03 2017	1492577763	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:56:04 2017	1492577764	1	1	2	1
Wed Apr 19 06:56:02 2017	1492577762	1	1	2	1
Wed Apr 19 06:56:01 2017	1492577761	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:56:01 2017	1492577761	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:56:02 2017	1492577762	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:56:00 2017	1492577760	1	1	2	1
Wed Apr 19 06:56:01 2017	1492577761	1	1	2	1
Wed Apr 19 06:56:01 2017	1492577761	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:56:04 2017	1492577764	1	1	2	1
Wed Apr 19 06:56:03 2017	1492577763	1	1	2	1
Wed Apr 19 06:56:01 2017	1492577761	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:56:00 2017	1492577760	1	1	2	1
Wed Apr 19 06:56:00 2017	1492577760	1	1	2	1
Wed Apr 19 06:56:02 2017	1492577762	1	1	2	1
Wed Apr 19 06:56:00 2017	1492577760	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:56:01 2017	1492577761	1	1	2	1
Wed Apr 19 06:56:01 2017	1492577761	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:56:03 2017	1492577763	1	1	2	1
Wed Apr 19 06:56:03 2017	1492577763	1	1	2	1
Wed Apr 19 06:56:00 2017	1492577760	1	1	2	1
Wed Apr 19 06:56:01 2017	1492577761	1	1	2	1
Wed Apr 19 06:56:02 2017	1492577762	1	1	2	1
Wed Apr 19 06:56:03 2017	1492577763	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:56:01 2017	1492577761	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:56:03 2017	1492577763	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:56:02 2017	1492577762	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:56:02 2017	1492577762	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:56:02 2017	1492577762	1	1	2	1
Wed Apr 19 06:56:00 2017	1492577760	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:56:04 2017	1492577764	1	1	2	1
Wed Apr 19 06:56:04 2017	1492577764	1	1	2	1
Wed Apr 19 06:56:02 2017	1492577762	1	1	2	1
Wed Apr 19 06:56:02 2017	1492577762	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:56:00 2017	1492577760	1	1	2	1
Wed Apr 19 06:56:02 2017	1492577762	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:56:02 2017	1492577762	1	1	2	1
Wed Apr 19 06:56:01 2017	1492577761	1	1	2	1
Wed Apr 19 06:56:04 2017	1492577764	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:56:04 2017	1492577764	1	1	2	1
Wed Apr 19 06:56:00 2017	1492577760	1	1	2	1
Wed Apr 19 06:56:01 2017	1492577761	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:56:03 2017	1492577763	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:56:04 2017	1492577764	1	1	2	1
Wed Apr 19 06:56:01 2017	1492577761	1	1	2	1
Wed Apr 19 06:56:02 2017	1492577762	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:56:02 2017	1492577762	1	1	2	1
Wed Apr 19 06:56:04 2017	1492577764	1	1	2	1
Wed Apr 19 06:56:04 2017	1492577764	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:56:04 2017	1492577764	1	1	2	1
Wed Apr 19 06:56:02 2017	1492577762	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:56:01 2017	1492577761	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:56:00 2017	1492577760	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:56:02 2017	1492577762	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:56:00 2017	1492577760	1	1	2	1
Wed Apr 19 06:56:02 2017	1492577762	1	1	2	1
Wed Apr 19 06:56:01 2017	1492577761	1	1	2	1
Wed Apr 19 06:55:59 2017	1492577759	1	1	2	1
Wed Apr 19 06:56:02 2017	1492577762	1	1	2	1
Wed Apr 19 06:56:03 2017	1492577763	1	1	2	1
Wed Apr 19 06:56:00 2017	1492577760	1	1	2	1
Wed Apr 19 06:56:00 2017	1492577760	1	1	2	1
